दार्शनिक पाठ्यपुस्तकका अमूर्त अवधारणाहरू बुझ्न गाह्रो थियो।	The abstract concepts in the philosophy textbook were difficult to understand.
उसका विचारहरू यति अमूर्त र असम्बद्ध थिए कि उसको सोचको प्रवाह पछ्याउन गाह्रो भयो।	His thoughts were so abstract and disjointed that it was hard to follow his train of thought. 
प्राध्यापकले विद्यार्थीहरूलाई अमूर्त विचारहरू बारे आलोचनात्मक सोच्न प्रोत्साहित गरे।	The professor encouraged students to think critically about abstract ideas.
यद्यपि उनले पूरै लेख पढेका थिएनन्, तर संक्षेपबाट नै उनलाई यो रोचक हुने लागेको थियो। 	Although he had not read the full article yet, he could tell from the abstract that it was going to be interesting.
सम्मेलन आयोजकहरूले प्रस्तुतकर्ताहरूलाई आफ्नो प्रस्तावित वार्ताको रूपरेखा दिन संक्षेप पेश गर्न अनुरोध गरे।	The conference organizers requested that presenters submit an abstract outlining their proposed talk.
शिक्षकले विद्यार्थीहरूलाई व्याख्यानका मुख्य बुँदाहरू छुट्याउन भने ताकि उनीहरूलाई राम्रोसँग बुझ्न सकियोस्। 	The teacher asked students to abstract the key points from the lecture to ensure understanding.
पढ्न सजिलो बनाउनका लागि यस जानकारीलाई बुलेट पोइन्टहरूमा रूपान्तरण गर्नुहोस्।	Abstract this information into bullet points to make it easier to read.
यति अस्पष्ट कविताबाट अर्थ निकाल्न गाह्रो हुन्छ।	It's difficult to abstract meaning from such an ambiguous poem.
हामीले यो जटिल समस्यालाई साना, व्यवस्थित भागहरूमा विभाजन गर्नुपर्छ ताकि प्रभावकारी रूपमा समाधान गर्न सकियोस्। 	We need to abstract this complex problem into smaller, manageable parts before we can solve it effectively.
आफ्नो शोधपत्र लेख्दा, जोनले दर्जनौं अध्ययनहरूबाट सावधानीपूर्वक डेटा छुट्याउनु पर्‍यो।	When writing his thesis, John had to carefully abstract data from dozens of studies.
पीडितले आफ्ना पार्टनरको हातबाट वर्षौंसम्म शारीरिक र भावनात्मक दुर्व्यवहार सहनु पर्‍यो।	The victim suffered years of physical and emotional abuse at the hands of her partner.
अनुपस्थित बाबुहरूले धेरै बच्चाहरूलाई बाल्यकालमै दुर्व्यवहार वा उपेक्षाको जोखिममा पारे।	Absent fathers left many children vulnerable to abuse or neglect growing up.
घरेलु हिंसा आश्रयस्थलहरूले घरेलु दुर्व्यवहारबाट भागेका व्यक्तिहरूलाई शरण दिन्छन्। 	Domestic violence shelters provide refuge for those fleeing domestic abuse.
यौन उत्पीडन एक प्रकारको दुर्व्यवहार हो जसले पीडितको मानसिक स्वास्थ्यमा दीर्घकालीन असर पार्न सक्छ।  	Sexual harassment is a form of abuse that can have long-lasting effects on victims' mental health.
आफ्नो युवावस्थामा भोगेको यौन दुर्व्यवहारको बारेमा खुलेर बोल्न उनले साहस देखाइन्।   	It took courage for her to speak up about the sexual abuse she endured during her youth.
उनको मद्यपानको लतले उनलाई आफ्ना परिवारमाथि शारीरिक र मौखिक दुर्व्यवहार गर्न बाध्य बनायो। His alcoholism led him to abuse his family both verbally and physically.
आफूले चाहेको प्राप्त गर्नका लागि केही बालबालिकाहरूले अक्सर अरूलाई भावनात्मक रूपमा दुर्व्यवहार गर्थे।  In order to get what they wanted, some kids would often manipulate and emotionally abuse others around them.
जुवाको लतका कारण उनले आफ्नो क्रेडिट कार्डहरू दुर्व्यवहार गरे र ठूलो ऋण संचित गरे।   His addiction to gambling led him to abuse his credit cards and accumulate massive debt.
मेरो विश्वासलाई यसरी दुर्व्यवहार नगर्नुहोस्, यसले मलाई गहिरो चोट पुर्‍याउँछ। Don't abuse my trust like this, it hurts me deeply.
म विश्वास गर्न सक्दिन कि तपाईंले आफ्नो शक्तिको यसरी दुरुपयोग गर्नुभयो, यो स्वीकार्य छैन!    I can't believe you would abuse your power like that, it's unacceptable!
शरणार्थीहरूको व्यवस्थापनका लागि सरकारको आलोचना गरिएको छ, जसमा मानवअधिकार उल्लङ्घनको आरोप लगाइएको छ।    The government has been criticized for its handling of refugees, with allegations of human rights abuses.
खेलाडीलाई प्रदर्शन सुधार्ने औषधिको दुरुपयोगका लागि निलम्बित गरियो।    The athlete was suspended for abuses of performance-enhancing drugs.
रिपोर्टले द्वन्द्व क्षेत्रमा मानवअधिकार उल्लङ्घनका घटनाहरूको विस्तृत विवरण प्रस्तुत गरेको छ।    The report details widespread abuses of human rights in the conflict zone.
उनले वर्षौंसम्म आफ्ना पार्टनरको हातबाट भावनात्मक दुर्व्यवहार सहनु पर्‍यो, त्यसपछि मात्र उनले सहायता खोजिन्।    She suffered emotional abuses at the hands of her partner for years before seeking help.
गैरसरकारी संस्थाले उपेक्षित समुदायहरूद्वारा सामना गरिएका दुर्व्यवहारहरूबारे जागरूकता बढाउने काम गरिरहेको छ।    The NGO is working to raise awareness about the abuses faced by marginalized communities.
उनले आफ्नो शक्तिको दुरुपयोग गरेर आफूले चाहेको प्राप्त गर्छिन्।    She abuses her power to get what she wants.
मालिकले आफ्ना कामदारहरूलाई न्यूनतम तलबभन्दा कम तलब दिएर र सुविधा नदिएर उनीहरूको दुरुपयोग गर्छ।    The boss abuses their workers by paying them below minimum wage and denying them benefits.
कम्पनीले आफ्नो एकाधिकारको दुरुपयोग गरिरहेको छ भन्ने अनुसन्धान गर्न एउटा समिति गठन गरिएको छ।    A committee has been formed to investigate the company that abuses its monopoly.
छिमेकीको कुकुरले निरन्तर साझा बगैंचाको क्षेत्र दुरुपयोग गर्छ।    The neighbor's dog constantly abuses the shared lawn space.
सार्वजनिक कोषको दुरुपयोग गर्ने सरकारी अधिकारीको राजीनामा माग गर्दै एउटा निवेदन दर्ता गरिएको छ।    There's a petition demanding the government official who abuses public funds to resign.
